"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22457","Test 2 - Search API Tool and remove it","chromium","2026-09-23","passed","2026-09-23","Agent - Tools","","",""
"","24913","Agent analytics - Connectivity: cycle Day/Week/Month/Quarter for every metric","chromium","2026-09-23","passed","2026-09-23","","","",""
"","45272","Test_10: validates folder name rules and creates a KB with a valid name","chromium","2026-09-23","passed","2026-09-23","","","",""
"","1","Reject a number not starting 6-9","chromium","2026-09-23","skipped","2026-09-23","DND list > Negative","","",""
"","25868","Prevent archive of phone number used by active or Scheduled outbound deployment","chromium","2026-09-23","passed","2026-09-23","","","",""
"","26990","Test_3: uploads an additional file from inside the created KB","chromium","2026-09-23","passed","2026-09-23","","","",""
"","15936","Agent analytics - Check toggle button and related data should be changed","chromium","2026-09-23","passed","2026-09-23","","","",""
"","11255","Test_11: verifies data retrieval from the test_retrieval KB","chromium","2026-09-23","passed","2026-09-23","","","",""
"","549804","Skip DND numbers","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","25438","Add numbers","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","21269","Discard the campaign wizard","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Negative","","",""
"","18441","Bulk upload from a CSV","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","9939","Agent name should be updated","chromium","2026-09-23","passed","2026-09-23","","","",""
"","102865","Test 4 - Verify Data Validator rejects incorrect birthday month","chromium","2026-09-23","failed","2026-09-23","","","",""
"","9518","Pause a campaign","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive > Pause, resume and cancel one campaign","","",""
"","14150","Filter accuracy on the Active tab","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","13127","Create, edit and delete an input variable","chromium","2026-09-23","passed","2026-09-23","Agent - Variables","","",""
"","8289","Test_6: edits the KB name and description from the outer list","chromium","2026-09-23","passed","2026-09-23","","","",""
"","21062","Agent analytics - every metric card matches its trend payload","chromium","2026-09-23","passed","2026-09-23","","","",""
"","15228","Export as a CSV","chromium","2026-09-23","passed","2026-09-23","DND list > Positive","","",""
"","28745","Agent analytics - cycle Day/Week/Month/Quarter for every metric","chromium","2026-09-23","passed","2026-09-23","","","",""
"","267133","End and move to Past","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive > Scheduled campaign lifecycle","","",""
"","19998","Test 2 - Search Data Validator and remove it","chromium","2026-09-23","passed","2026-09-23","","","",""
"","279648","Hold Scheduled until start","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive > Scheduled campaign lifecycle","","",""
"","25041","Reject a CSV with the wrong header","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","9152","Test_4: deletes the created KB from the outer list","chromium","2026-09-23","passed","2026-09-23","","","",""
"","18886","Report numbers that are not on the list","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","13025","Delete an inbound deployment: Cancel, Close, then Delete","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","13777","Reject a number under 10 digits","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","30832","Create with a new group","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","9307","Test_9: downloads a file by opening its preview inside the KB folder","chromium","2026-09-23","passed","2026-09-23","","","",""
"","40783","Agent Knowledge Base","chromium","2026-09-24","passed","2026-09-24","","","",""
"","9943","Test_5: deletes a file from inside the KB folder","chromium","2026-09-23","passed","2026-09-23","","","",""
"","24829","Move all visible phone numbers to a group and then unassign them","chromium","2026-09-23","passed","2026-09-23","","","",""
"","41833","Test 3 - Create API Tool, add it to Instructions and verify through Test Agent","chromium","2026-09-23","passed","2026-09-23","Agent - Tools","","",""
"","23735","Prevent archive of phone numbers used by Active or Paused inbound deployments","chromium","2026-09-23","passed","2026-09-23","","","",""
"","16072","Pause, resume and add known callers to an active inbound","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","20439","Test 1 - Create API Tool and verify it in Tools table","chromium","2026-09-23","passed","2026-09-23","Agent - Tools","","",""
"","14228","Reject files that are not CSVs","chromium","2026-09-23","passed","2026-09-23","DND list > Negative","","",""
"","15963","Create variable from Instructions and verify after refresh","chromium","2026-09-23","passed","2026-09-23","","","",""
"","26893","Delete an empty group successfully","chromium","2026-09-23","passed","2026-09-23","","","",""
"","19643","Test 1 - Create Data Validator and verify it in Tools table","chromium","2026-09-23","passed","2026-09-23","Agent - Data Validator","","",""
"","23310","Filter accuracy on the Past tab","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","22214","Cancel a Paused campaign","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive > Pause, resume and cancel one campaign","","",""
"","18220","Agent analytics - Connectivity: every metric card matches its trend payload","chromium","2026-09-23","passed","2026-09-23","","","",""
"","18789","Agent analytics - Engagement: every metric card matches its trend payload","chromium","2026-09-23","passed","2026-09-23","","","",""
"","21723","Create with the first phone number","chromium","2026-09-23","passed","2026-09-23","Outbound Campaign > Positive","","",""
"","11409","Download a known-callers list: CSV twice + column mapping","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
"","9883","Copy Deployment ID and App ID from an active inbound","chromium","2026-09-23","passed","2026-09-23","Samvaad · cDeploy · Inbound calls","","",""
